Date,Product Category,Product Name,Price (USD),Units Sold,Revenue (USD),Customer Rating,Sustainability Score,Region,Competitor Name
15/01/2025,Fashion,Silk Scarf,783.64,5,3918.2,4.5,1,Germany,Wayfair
13/11/2024,Wellness,Aromatherapy Diffuser,526.23,60,31573.8,5,6,Canada,Urban Ladder
01/10/2024,Gadgets,Noise Cancelling Headphones,984.21,7,6889.47,3.7,3,Canada,Urban Ladder
12/12/2024,Fashion,Silk Scarf,793.5,44,34914,4.4,3,Canada,Wayfair
01/07/2024,Fashion,Running Shoes,560.45,50,28022.5,4.9,2,Canada,Urban Ladder
20/09/2024,Wellness,Aromatherapy Diffuser,372.23,60,22333.8,4.6,4,UK,Williams-Sonoma
05/11/2024,Fashion,Leather Jacket,434.82,1,434.82,4.1,9,Canada,Williams-Sonoma
15/12/2024,Accessories,Sunglasses,231.29,16,3700.64,4.6,2,India,Urban Ladder
19/10/2024,Personal Care,Organic Skincare Set,718.97,12,8627.64,4.6,7,USA,Williams-Sonoma
10/05/2024,Wellness,Yoga Mat,227.11,60,13626.6,3.7,10,Germany,Ashley Furniture
13/05/2024,Gadgets,Noise Cancelling Headphones,558.99,45,25154.55,3.9,4,UK,Williams-Sonoma
05/11/2024,Accessories,Luxury Handbag,241.9,3,725.7,4,7,Canada,Wayfair
09/05/2024,Gadgets,Smartwatch,322.95,53,17116.35,5,9,Australia,Wayfair
04/12/2024,Fashion,Silk Scarf,463.5,19,8806.5,4.2,2,USA,IKEA
15/07/2024,Gadgets,Noise Cancelling Headphones,625.36,27,16884.72,4.3,9,UK,Williams-Sonoma
18/04/2024,Personal Care,Electric Toothbrush,85.7,48,4113.6,5,10,Germany,Williams-Sonoma
01/07/2024,Personal Care,Beard Grooming Kit,189.41,40,7576.4,4.2,4,UK,Urban Ladder
31/05/2024,Wellness,Yoga Mat,525.73,31,16297.63,4.1,5,UK,Wayfair
15/10/2024,Accessories,Sunglasses,878.76,21,18453.96,3.7,9,USA,Wayfair
22/08/2024,Fashion,Silk Scarf,693.27,19,13172.13,4.4,6,India,Ashley Furniture
05/01/2025,Fashion,Silk Scarf,712.61,45,32067.45,5,3,Australia,Williams-Sonoma
08/05/2024,Personal Care,Electric Toothbrush,627.21,38,23833.98,4.3,4,India,Ashley Furniture
02/10/2024,Personal Care,Beard Grooming Kit,109.71,19,2084.49,4.7,1,USA,Urban Ladder
16/01/2025,Accessories,Sunglasses,815.88,52,42425.76,4.5,1,UK,Ashley Furniture
23/05/2024,Wellness,Yoga Mat,570.37,44,25096.28,4.4,5,Germany,Wayfair
23/03/2024,Personal Care,Electric Toothbrush,1006.49,28,28181.72,3.8,4,India,Urban Ladder
04/03/2024,Gadgets,Portable Projector,1002.03,41,41083.23,3.9,8,Canada,Urban Ladder
11/11/2024,Wellness,Yoga Mat,338.42,48,16244.16,3.7,9,Canada,Wayfair
07/03/2024,Accessories,Luxury Handbag,581.04,13,7553.52,3.8,7,USA,Ashley Furniture
25/09/2024,Accessories,Sunglasses,356.88,32,11420.16,4.3,7,Australia,IKEA
25/05/2024,Fashion,Silk Scarf,581.15,30,17434.5,4.9,8,UK,Wayfair
09/04/2024,Gadgets,Noise Cancelling Headphones,270.3,44,11893.2,4.8,9,India,IKEA
15/05/2024,Personal Care,Electric Toothbrush,807.51,33,26647.83,4.2,9,Canada,IKEA
06/02/2025,Accessories,Sunglasses,257.11,39,10027.29,4.1,4,USA,IKEA
30/10/2024,Gadgets,Smartwatch,506.78,31,15710.18,4.2,4,Germany,Williams-Sonoma
13/03/2024,Fashion,Running Shoes,294.27,17,5002.59,4.2,10,Australia,Wayfair
13/08/2024,Personal Care,Beard Grooming Kit,184.65,11,2031.15,4.9,5,UK,Ashley Furniture
04/10/2024,Personal Care,Organic Skincare Set,848.43,60,50905.8,4.7,2,India,Urban Ladder
20/03/2024,Fashion,Running Shoes,978.9,54,52860.6,4.5,9,Canada,Williams-Sonoma
19/01/2025,Personal Care,Organic Skincare Set,869.38,11,9563.18,3.8,4,USA,Urban Ladder
04/03/2024,Personal Care,Electric Toothbrush,1130.98,10,11309.8,4.2,9,USA,Williams-Sonoma
12/01/2025,Wellness,Smart Water Bottle,154.53,58,8962.74,3.7,1,UK,Ashley Furniture
17/02/2024,Accessories,Luxury Handbag,430.75,15,6461.25,4.9,6,Germany,Ashley Furniture
09/04/2024,Wellness,Smart Water Bottle,1140.54,58,66151.32,3.5,5,Canada,IKEA
24/05/2024,Personal Care,Organic Skincare Set,219.69,10,2196.9,4.6,9,UK,Williams-Sonoma
30/04/2024,Wellness,Yoga Mat,385.79,38,14660.02,4.6,1,UK,Urban Ladder
16/12/2024,Gadgets,Smartwatch,670.51,6,4023.06,3.8,9,USA,Wayfair
02/10/2024,Wellness,Aromatherapy Diffuser,742.64,29,21536.56,3.5,1,Germany,IKEA
10/07/2024,Gadgets,Portable Projector,248.29,7,1738.03,3.7,6,USA,Williams-Sonoma
14/03/2024,Wellness,Aromatherapy Diffuser,964.32,27,26036.64,3.7,2,India,Urban Ladder
30/11/2024,Gadgets,Portable Projector,457.79,42,19227.18,4.8,1,India,Urban Ladder
23/11/2024,Accessories,Luxury Handbag,899.13,37,33267.81,4.8,9,India,Ashley Furniture
14/09/2024,Gadgets,Smartwatch,668.16,59,39421.44,4.9,1,India,Wayfair
17/02/2024,Fashion,Silk Scarf,314.34,21,6601.14,3.8,6,USA,Urban Ladder
21/02/2024,Accessories,Sunglasses,856.2,27,23117.4,4.8,8,India,Williams-Sonoma
30/04/2024,Fashion,Leather Jacket,768.23,27,20742.21,4.5,3,USA,Ashley Furniture
24/05/2024,Wellness,Aromatherapy Diffuser,267.43,52,13906.36,4.2,1,India,Ashley Furniture
08/06/2024,Personal Care,Organic Skincare Set,408.72,29,11852.88,5,6,Canada,Urban Ladder
04/11/2024,Fashion,Leather Jacket,157.7,17,2680.9,4,5,USA,Ashley Furniture
26/11/2024,Personal Care,Beard Grooming Kit,118.15,34,4017.1,3.5,1,Germany,Williams-Sonoma
14/03/2024,Wellness,Smart Water Bottle,1197.69,46,55093.74,4.1,5,UK,Ashley Furniture
25/01/2025,Gadgets,Portable Projector,1024.92,9,9224.28,4.9,6,Australia,Ashley Furniture
28/11/2024,Gadgets,Portable Projector,394.52,54,21304.08,4.2,10,Germany,Williams-Sonoma
24/03/2024,Accessories,Sunglasses,443.74,32,14199.68,4.5,2,Canada,Ashley Furniture
16/08/2024,Wellness,Yoga Mat,345.52,13,4491.76,4.2,7,USA,Wayfair
17/06/2024,Wellness,Yoga Mat,399.82,48,19191.36,3.9,8,Australia,Urban Ladder
02/05/2024,Accessories,Luxury Handbag,557.24,1,557.24,3.5,2,Australia,Urban Ladder
03/03/2024,Wellness,Aromatherapy Diffuser,1108.98,44,48795.12,4.4,6,Canada,Williams-Sonoma
09/04/2024,Accessories,Sunglasses,867.43,60,52045.8,3.5,10,Canada,IKEA
09/06/2024,Gadgets,Smartwatch,720.24,16,11523.84,3.8,5,Canada,Ashley Furniture
13/03/2024,Fashion,Leather Jacket,68.36,14,957.04,4.6,6,India,Wayfair
14/10/2024,Fashion,Running Shoes,235.11,53,12460.83,4.5,7,Germany,Urban Ladder
04/02/2025,Fashion,Silk Scarf,912.49,9,8212.41,3.9,10,India,Ashley Furniture
12/11/2024,Wellness,Smart Water Bottle,397.82,46,18299.72,4.7,10,UK,Wayfair
04/06/2024,Wellness,Aromatherapy Diffuser,879.13,8,7033.04,4,4,Australia,IKEA
25/10/2024,Fashion,Running Shoes,393.68,50,19684,4.5,10,India,IKEA
01/05/2024,Wellness,Aromatherapy Diffuser,1067.71,24,25625.04,4.4,6,Australia,Urban Ladder
15/11/2024,Fashion,Silk Scarf,590.29,8,4722.32,4.1,3,UK,Williams-Sonoma
28/04/2024,Wellness,Aromatherapy Diffuser,750.45,52,39023.4,3.6,5,USA,Urban Ladder
07/12/2024,Fashion,Silk Scarf,1088.37,59,64213.83,3.8,4,India,Wayfair
07/01/2025,Wellness,Yoga Mat,951.8,50,47590,4.7,8,Canada,Ashley Furniture
24/02/2024,Gadgets,Smartwatch,751.2,24,18028.8,4,9,UK,Wayfair
14/04/2024,Personal Care,Electric Toothbrush,893.8,29,25920.2,4.4,4,Australia,Wayfair
06/10/2024,Personal Care,Organic Skincare Set,730.01,46,33580.46,4.7,5,Australia,IKEA
24/04/2024,Gadgets,Smartwatch,559.01,10,5590.1,4.1,3,Australia,Williams-Sonoma
24/01/2025,Fashion,Silk Scarf,861.51,21,18091.71,4.9,6,USA,Wayfair
31/08/2024,Fashion,Running Shoes,58.45,33,1928.85,4.6,7,Canada,Urban Ladder
14/06/2024,Gadgets,Portable Projector,807.45,23,18571.35,3.7,5,UK,Williams-Sonoma
03/01/2025,Personal Care,Electric Toothbrush,586.17,60,35170.2,3.8,1,UK,Ashley Furniture
01/11/2024,Wellness,Aromatherapy Diffuser,507.63,9,4568.67,3.9,9,UK,Wayfair
04/11/2024,Personal Care,Organic Skincare Set,167.35,19,3179.65,4.2,8,Australia,Ashley Furniture
12/01/2025,Accessories,Backpack,1027.06,54,55461.24,4.1,2,Germany,Wayfair
14/12/2024,Gadgets,Noise Cancelling Headphones,585.77,11,6443.47,4.4,5,Germany,IKEA
29/05/2024,Wellness,Aromatherapy Diffuser,538.75,43,23166.25,4.6,1,Germany,IKEA
29/10/2024,Wellness,Yoga Mat,1110.55,36,39979.8,4,1,India,Williams-Sonoma
17/01/2025,Fashion,Leather Jacket,795,21,16695,3.5,9,Canada,Urban Ladder
17/10/2024,Gadgets,Noise Cancelling Headphones,412.03,49,20189.47,4.9,1,India,Urban Ladder
28/05/2024,Wellness,Yoga Mat,1140.92,9,10268.28,3.6,10,UK,Urban Ladder
14/12/2024,Fashion,Silk Scarf,965.37,14,13515.18,3.7,5,Australia,IKEA
22/05/2024,Wellness,Yoga Mat,73.84,39,2879.76,4.5,6,India,Ashley Furniture
29/06/2024,Accessories,Backpack,134.37,28,3762.36,4.4,4,Australia,IKEA
01/08/2024,Gadgets,Portable Projector,966,26,25116,4.2,4,Canada,Ashley Furniture
05/02/2025,Accessories,Luxury Handbag,588.92,42,24734.64,3.6,2,UK,Ashley Furniture
21/12/2024,Gadgets,Portable Projector,386.01,47,18142.47,4.9,6,USA,Urban Ladder
14/06/2024,Personal Care,Beard Grooming Kit,680.32,46,31294.72,4.8,1,UK,Williams-Sonoma
07/11/2024,Wellness,Aromatherapy Diffuser,1111.71,35,38909.85,3.7,10,Germany,Ashley Furniture
07/07/2024,Accessories,Sunglasses,335.84,30,10075.2,3.9,5,UK,Urban Ladder
15/09/2024,Wellness,Smart Water Bottle,613.54,15,9203.1,4.1,6,USA,Williams-Sonoma
06/11/2024,Personal Care,Electric Toothbrush,766.47,23,17628.81,4.2,10,Germany,IKEA
24/01/2025,Accessories,Backpack,713.01,44,31372.44,4.9,1,Germany,Wayfair
23/12/2024,Wellness,Yoga Mat,348.42,18,6271.56,3.9,9,UK,Williams-Sonoma
14/10/2024,Gadgets,Portable Projector,321.24,12,3854.88,3.6,10,Australia,IKEA
11/01/2025,Gadgets,Portable Projector,782.79,28,21918.12,4.2,7,UK,Wayfair
08/03/2024,Accessories,Luxury Handbag,192.47,15,2887.05,4.1,4,Australia,Ashley Furniture
03/11/2024,Gadgets,Noise Cancelling Headphones,437.95,13,5693.35,4.4,5,Canada,Urban Ladder
08/09/2024,Personal Care,Beard Grooming Kit,569.55,46,26199.3,3.6,2,India,IKEA
20/03/2024,Wellness,Aromatherapy Diffuser,784.03,58,45473.74,4.1,8,Canada,IKEA
04/07/2024,Personal Care,Electric Toothbrush,416.19,4,1664.76,3.7,1,Australia,Ashley Furniture
06/12/2024,Accessories,Sunglasses,478,51,24378,4.3,6,Canada,IKEA
29/08/2024,Gadgets,Smartwatch,283.72,34,9646.48,4.6,8,USA,Wayfair
10/08/2024,Personal Care,Beard Grooming Kit,838.77,7,5871.39,5,6,Australia,Ashley Furniture
10/08/2024,Wellness,Smart Water Bottle,138.85,18,2499.3,4.3,7,UK,Williams-Sonoma
06/04/2024,Wellness,Aromatherapy Diffuser,794.89,43,34180.27,5,9,Germany,Urban Ladder
31/01/2025,Personal Care,Organic Skincare Set,840.96,34,28592.64,3.9,9,Germany,Urban Ladder
09/04/2024,Personal Care,Organic Skincare Set,689.33,36,24815.88,3.6,6,Germany,Urban Ladder
21/08/2024,Personal Care,Organic Skincare Set,477.48,8,3819.84,4.2,10,Canada,Wayfair
20/08/2024,Accessories,Backpack,886.67,2,1773.34,3.9,4,UK,Urban Ladder
04/07/2024,Personal Care,Organic Skincare Set,1055.31,9,9497.79,4,10,USA,IKEA
30/11/2024,Fashion,Running Shoes,759.53,23,17469.19,4.4,9,USA,Williams-Sonoma
20/04/2024,Wellness,Yoga Mat,842.75,46,38766.5,5,4,UK,Urban Ladder
29/08/2024,Wellness,Yoga Mat,931.45,49,45641.05,4.9,1,India,Wayfair
18/06/2024,Fashion,Leather Jacket,1006.85,43,43294.55,4.6,3,UK,Williams-Sonoma
