Date,Product Category,Product Name,Price (USD),Units Sold,Revenue (USD),Customer Rating,Sustainability Score,Region,Competitor Name
18/08/2024,Furniture,Wooden Dining Table,1123.36,18,20220.48,4.3,1,USA,Ashley Furniture
09/08/2024,Furniture,Glass Coffee Table,1118.75,60,67125,5,6,UK,Urban Ladder
10/09/2024,Furniture,Wooden Dining Table,478.58,46,22014.68,3.9,2,Australia,Urban Ladder
01/06/2024,Rugs & Carpets,Jute Rug,601.32,46,27660.72,4.2,6,Canada,Williams-Sonoma
16/07/2024,Rugs & Carpets,Jute Rug,796.62,56,44610.72,4.5,10,India,Urban Ladder
08/05/2024,Wall Art,Framed Photograph,309.32,54,16703.28,4.3,9,India,Wayfair
23/03/2024,Lighting,LED Floor Lamp,1094.39,13,14227.07,4.5,7,UK,Wayfair
19/11/2024,Rugs & Carpets,Modern Carpet,802.09,2,1604.18,4.6,10,India,Wayfair
08/12/2024,Furniture,Wooden Dining Table,760.92,19,14457.48,4.4,1,Canada,Urban Ladder
09/07/2024,Wall Art,Framed Photograph,439.31,48,21086.88,4.7,1,UK,Wayfair
28/03/2024,Wall Art,Canvas Painting,1137.8,10,11378,4.3,10,Australia,Williams-Sonoma
12/04/2024,Furniture,Glass Coffee Table,516.48,45,23241.6,3.6,10,India,Williams-Sonoma
28/04/2024,Storage,Bookshelf,1006.53,51,51333.03,4.2,7,USA,Williams-Sonoma
25/05/2024,Lighting,Chandelier,216.27,14,3027.78,4.1,9,Canada,IKEA
27/10/2024,Furniture,Glass Coffee Table,1066.55,27,28796.85,3.7,4,India,Ashley Furniture
20/03/2024,Lighting,Chandelier,868.21,3,2604.63,4.7,8,USA,Williams-Sonoma
17/05/2024,Furniture,Glass Coffee Table,1113.17,36,40074.12,3.9,1,UK,Williams-Sonoma
06/08/2024,Furniture,Wooden Dining Table,281.54,22,6193.88,4.3,4,UK,Urban Ladder
04/04/2024,Wall Art,Metal Wall Sculpture,44,30,1320,4.1,5,UK,Williams-Sonoma
16/03/2024,Storage,Shoe Rack,1064.53,10,10645.3,3.7,7,Canada,Urban Ladder
20/02/2024,Wall Art,Canvas Painting,651.09,57,37112.13,4.8,7,Germany,Wayfair
17/12/2024,Furniture,Wooden Dining Table,1191.57,39,46471.23,4.8,9,USA,Williams-Sonoma
29/06/2024,Wall Art,Canvas Painting,403.08,9,3627.72,4.9,4,Germany,IKEA
21/01/2025,Rugs & Carpets,Jute Rug,894.91,7,6264.37,4.7,4,Germany,IKEA
03/05/2024,Lighting,LED Floor Lamp,526.31,54,28420.74,3.9,9,Australia,Urban Ladder
19/03/2024,Wall Art,Framed Photograph,373,46,17158,4.8,7,India,Wayfair
03/10/2024,Wall Art,Framed Photograph,435.76,37,16123.12,4.6,5,Canada,Wayfair
21/10/2024,Wall Art,Framed Photograph,387.61,30,11628.3,3.7,2,USA,Wayfair
27/08/2024,Lighting,Chandelier,1057.02,57,60250.14,3.6,2,India,Ashley Furniture
02/02/2025,Rugs & Carpets,Modern Carpet,1085.43,7,7598.01,4.6,10,UK,Urban Ladder
02/10/2024,Furniture,Recliner Sofa,746.3,38,28359.4,4.3,6,India,Williams-Sonoma
07/11/2024,Wall Art,Metal Wall Sculpture,1158.47,43,49814.21,4.9,9,India,Urban Ladder
10/02/2024,Lighting,Table Lamp,864.71,6,5188.26,3.6,1,Germany,Williams-Sonoma
22/06/2024,Storage,Bookshelf,1031.16,30,30934.8,4.7,7,UK,IKEA
22/01/2025,Furniture,Recliner Sofa,968.99,36,34883.64,4.7,5,Australia,Wayfair
16/07/2024,Wall Art,Canvas Painting,908.21,4,3632.84,4.8,4,Germany,IKEA
04/08/2024,Rugs & Carpets,Modern Carpet,1085.2,56,60771.2,4.2,8,Australia,Williams-Sonoma
09/08/2024,Lighting,Chandelier,282.1,54,15233.4,3.9,3,Germany,Urban Ladder
28/11/2024,Wall Art,Canvas Painting,364.32,33,12022.56,4.4,3,Australia,Wayfair
28/10/2024,Rugs & Carpets,Modern Carpet,1053.64,50,52682,4.2,4,UK,Urban Ladder
03/12/2024,Furniture,Wooden Dining Table,213.64,39,8331.96,3.8,8,Australia,Ashley Furniture
30/03/2024,Furniture,Wooden Dining Table,900.74,14,12610.36,4.1,5,UK,IKEA
09/12/2024,Wall Art,Framed Photograph,458.22,16,7331.52,4.9,9,Germany,Urban Ladder
20/03/2024,Rugs & Carpets,Persian Rug,834.26,56,46718.56,4.3,5,India,Urban Ladder
31/08/2024,Storage,Bookshelf,79.51,17,1351.67,4.3,3,Australia,Williams-Sonoma
05/12/2024,Storage,Bookshelf,312.24,22,6869.28,3.8,1,Germany,Urban Ladder
31/08/2024,Rugs & Carpets,Persian Rug,991.14,5,4955.7,3.8,3,Germany,Ashley Furniture
02/04/2024,Lighting,Table Lamp,267.61,39,10436.79,3.7,8,Germany,Urban Ladder
12/03/2024,Storage,Bookshelf,175.14,1,175.14,3.9,5,Canada,Urban Ladder
09/03/2024,Rugs & Carpets,Jute Rug,711.81,1,711.81,3.9,1,Germany,Williams-Sonoma
23/08/2024,Lighting,Chandelier,330.59,18,5950.62,4.3,1,Canada,Urban Ladder
15/08/2024,Wall Art,Canvas Painting,1029.47,20,20589.4,3.6,2,Canada,Urban Ladder
01/02/2025,Lighting,Table Lamp,1163.51,18,20943.18,4.5,3,Canada,Wayfair
06/12/2024,Wall Art,Canvas Painting,797.06,14,11158.84,4.9,9,Canada,IKEA
30/12/2024,Wall Art,Canvas Painting,779.15,37,28828.55,4.5,3,India,Wayfair
19/12/2024,Rugs & Carpets,Persian Rug,759.82,28,21274.96,4.3,4,USA,Williams-Sonoma
16/08/2024,Wall Art,Framed Photograph,725.79,10,7257.9,5,1,Canada,Wayfair
16/02/2024,Wall Art,Framed Photograph,900.25,25,22506.25,3.6,5,Germany,IKEA
06/10/2024,Furniture,Glass Coffee Table,511.35,45,23010.75,4.5,8,Canada,Williams-Sonoma
28/01/2025,Rugs & Carpets,Modern Carpet,1188.44,24,28522.56,4.6,10,Germany,Urban Ladder
29/01/2025,Storage,Bookshelf,208.98,60,12538.8,4.3,3,USA,IKEA
05/11/2024,Storage,Bookshelf,510.19,46,23468.74,4.7,4,Canada,IKEA
04/06/2024,Storage,Shoe Rack,878.3,43,37766.9,3.5,4,India,IKEA
28/07/2024,Rugs & Carpets,Jute Rug,929.38,52,48327.76,3.8,3,Australia,Ashley Furniture
02/03/2024,Wall Art,Canvas Painting,619.09,17,10524.53,3.9,3,Canada,Williams-Sonoma
13/03/2024,Rugs & Carpets,Modern Carpet,51.16,45,2302.2,3.9,10,Germany,Ashley Furniture
09/11/2024,Storage,Shoe Rack,380.03,44,16721.32,4.7,7,USA,IKEA
24/09/2024,Lighting,LED Floor Lamp,822.68,45,37020.6,4.2,6,UK,Urban Ladder
20/01/2025,Furniture,Wooden Dining Table,397.17,20,7943.4,3.9,5,UK,Williams-Sonoma
04/11/2024,Furniture,Wooden Dining Table,758,28,21224,4.9,6,USA,Urban Ladder
28/02/2024,Furniture,Recliner Sofa,757.59,43,32576.37,3.5,9,UK,IKEA
26/09/2024,Wall Art,Canvas Painting,263.05,7,1841.35,4.8,9,USA,Ashley Furniture
19/06/2024,Storage,Shoe Rack,752.6,19,14299.4,3.7,6,Canada,IKEA
10/05/2024,Storage,Shoe Rack,897.54,28,25131.12,4,9,Germany,Wayfair
09/07/2024,Rugs & Carpets,Persian Rug,870.61,49,42659.89,4.4,4,Australia,Urban Ladder
27/07/2024,Wall Art,Metal Wall Sculpture,413.02,26,10738.52,4,1,India,IKEA
23/10/2024,Wall Art,Metal Wall Sculpture,911.93,59,53803.87,4,5,Australia,IKEA
06/01/2025,Rugs & Carpets,Jute Rug,1023.67,51,52207.17,4.9,5,Canada,Williams-Sonoma
21/02/2024,Wall Art,Canvas Painting,499.79,55,27488.45,4.8,1,India,Wayfair
28/04/2024,Storage,Shoe Rack,1065.21,26,27695.46,4.9,8,Germany,Wayfair
11/05/2024,Lighting,LED Floor Lamp,224.59,5,1122.95,4.4,9,Germany,IKEA
05/09/2024,Lighting,Chandelier,389.18,59,22961.62,4.4,9,USA,Urban Ladder
23/08/2024,Lighting,LED Floor Lamp,976.57,11,10742.27,4.6,1,USA,Wayfair
22/12/2024,Lighting,Chandelier,295.4,24,7089.6,4.8,6,Germany,IKEA
23/11/2024,Furniture,Wooden Dining Table,506.07,22,11133.54,4.7,6,Australia,Williams-Sonoma
03/11/2024,Lighting,LED Floor Lamp,142.98,13,1858.74,5,10,Australia,Ashley Furniture
04/02/2025,Wall Art,Framed Photograph,505.3,6,3031.8,3.8,5,Germany,IKEA
27/02/2024,Lighting,Chandelier,695.1,48,33364.8,4.8,2,UK,Williams-Sonoma
05/03/2024,Wall Art,Metal Wall Sculpture,1145.81,34,38957.54,4.7,8,Australia,IKEA
21/08/2024,Furniture,Glass Coffee Table,243.42,55,13388.1,4.9,9,Australia,Williams-Sonoma
24/03/2024,Lighting,Table Lamp,1097.85,49,53794.65,4,10,UK,IKEA
02/09/2024,Storage,Wall-mounted Cabinet,1139.39,45,51272.55,4.9,2,USA,Urban Ladder
16/06/2024,Furniture,Recliner Sofa,267.53,30,8025.9,4.5,10,UK,IKEA
14/09/2024,Storage,Wall-mounted Cabinet,268.34,14,3756.76,4.5,2,India,Williams-Sonoma
30/04/2024,Lighting,Table Lamp,713.84,35,24984.4,4.3,7,India,Ashley Furniture
31/03/2024,Wall Art,Canvas Painting,618.81,46,28465.26,4.2,4,Germany,Wayfair
08/11/2024,Wall Art,Metal Wall Sculpture,196.32,19,3730.08,4.4,10,Germany,Ashley Furniture
06/07/2024,Rugs & Carpets,Jute Rug,450.37,2,900.74,5,8,Canada,Williams-Sonoma
10/04/2024,Wall Art,Framed Photograph,164.5,10,1645,3.7,7,UK,Williams-Sonoma
29/09/2024,Rugs & Carpets,Modern Carpet,111.38,57,6348.66,4.7,2,Germany,Williams-Sonoma
09/07/2024,Furniture,Recliner Sofa,833.19,29,24162.51,4.3,6,India,Wayfair
12/08/2024,Lighting,LED Floor Lamp,884.42,43,38030.06,4.9,9,USA,IKEA
03/04/2024,Rugs & Carpets,Jute Rug,908.56,12,10902.72,4,8,USA,Wayfair
29/02/2024,Rugs & Carpets,Persian Rug,500.92,56,28051.52,4.7,8,Germany,Ashley Furniture
30/05/2024,Rugs & Carpets,Persian Rug,1052.94,60,63176.4,3.8,7,UK,Ashley Furniture
31/10/2024,Furniture,Recliner Sofa,572.92,6,3437.52,3.8,6,UK,Wayfair
13/02/2024,Rugs & Carpets,Persian Rug,991.22,45,44604.9,3.6,9,India,Williams-Sonoma
09/02/2024,Furniture,Wooden Dining Table,522.05,34,17749.7,3.8,7,Canada,Williams-Sonoma
26/08/2024,Wall Art,Canvas Painting,40.12,38,1524.56,3.7,3,UK,Ashley Furniture
02/01/2025,Rugs & Carpets,Persian Rug,270,26,7020,3.9,2,Germany,Ashley Furniture
22/05/2024,Wall Art,Canvas Painting,621.74,8,4973.92,4.3,3,UK,IKEA
09/03/2024,Wall Art,Metal Wall Sculpture,472.85,12,5674.2,4.1,6,India,Wayfair
06/02/2025,Wall Art,Metal Wall Sculpture,1045.65,39,40780.35,3.6,2,Canada,Ashley Furniture
20/07/2024,Rugs & Carpets,Modern Carpet,866.08,5,4330.4,3.9,2,Canada,Urban Ladder
20/12/2024,Lighting,Table Lamp,820.52,37,30359.24,3.7,5,India,Ashley Furniture
14/06/2024,Wall Art,Metal Wall Sculpture,1182.34,24,28376.16,4.9,4,USA,IKEA
25/11/2024,Furniture,Wooden Dining Table,861.7,18,15510.6,4.7,1,UK,Urban Ladder
21/06/2024,Wall Art,Canvas Painting,651.15,28,18232.2,4.7,6,USA,Williams-Sonoma
29/07/2024,Storage,Shoe Rack,286.84,8,2294.72,3.8,7,Australia,IKEA
11/05/2024,Rugs & Carpets,Modern Carpet,76.47,15,1147.05,3.9,5,Canada,IKEA
14/02/2024,Storage,Bookshelf,698.52,60,41911.2,3.8,2,India,Ashley Furniture
28/02/2024,Furniture,Wooden Dining Table,1092.07,26,28393.82,4.3,10,USA,IKEA
21/07/2024,Wall Art,Metal Wall Sculpture,505.99,4,2023.96,3.6,8,India,Wayfair
05/12/2024,Furniture,Recliner Sofa,411.58,29,11935.82,3.7,4,Canada,Wayfair
21/07/2024,Storage,Shoe Rack,201.77,15,3026.55,4.4,7,UK,Williams-Sonoma
06/11/2024,Rugs & Carpets,Persian Rug,515.36,53,27314.08,4.5,5,UK,IKEA
06/04/2024,Wall Art,Framed Photograph,228.49,35,7997.15,3.7,7,Canada,Ashley Furniture
16/08/2024,Lighting,Chandelier,878.17,57,50055.69,4.3,7,USA,Wayfair
29/12/2024,Storage,Wall-mounted Cabinet,1018.99,33,33626.67,4,9,Australia,Urban Ladder
23/03/2024,Lighting,LED Floor Lamp,1182.2,43,50834.6,4.5,5,UK,Urban Ladder
19/09/2024,Lighting,Chandelier,597.61,10,5976.1,4,1,UK,Williams-Sonoma
10/06/2024,Storage,Wall-mounted Cabinet,996.9,59,58817.1,4.8,6,Canada,Wayfair
16/02/2024,Lighting,Chandelier,207.44,60,12446.4,4.3,5,UK,Urban Ladder
28/11/2024,Wall Art,Canvas Painting,343.56,10,3435.6,4.3,8,Canada,Ashley Furniture
21/12/2024,Wall Art,Framed Photograph,1111.05,5,5555.25,4.5,2,Australia,Williams-Sonoma
20/09/2024,Rugs & Carpets,Jute Rug,685.55,9,6169.95,3.6,4,Canada,IKEA
05/02/2025,Furniture,Recliner Sofa,431.83,59,25477.97,3.7,8,Canada,Williams-Sonoma
26/04/2024,Lighting,Chandelier,875.85,60,52551,4.9,2,USA,Wayfair
12/02/2024,Lighting,LED Floor Lamp,934,36,33624,3.6,9,India,Urban Ladder
30/05/2024,Storage,Bookshelf,154.46,28,4324.88,4.8,3,Germany,Williams-Sonoma
16/01/2025,Wall Art,Canvas Painting,322.42,8,2579.36,4.5,3,UK,IKEA
03/01/2025,Storage,Bookshelf,802.78,53,42547.34,4.3,8,Canada,IKEA
12/05/2024,Storage,Bookshelf,1016.55,36,36595.8,4.2,10,Germany,Ashley Furniture
21/03/2024,Storage,Bookshelf,217.13,50,10856.5,3.8,5,Germany,Ashley Furniture
18/06/2024,Lighting,LED Floor Lamp,1120.97,6,6725.82,4.9,4,Australia,Wayfair
13/10/2024,Furniture,Recliner Sofa,993.81,43,42733.83,4.6,5,India,Urban Ladder
09/02/2024,Lighting,Chandelier,358.45,48,17205.6,4.9,2,USA,Wayfair
17/05/2024,Rugs & Carpets,Persian Rug,1005.73,41,41234.93,3.5,3,Germany,Ashley Furniture
21/08/2024,Furniture,Recliner Sofa,981.29,7,6869.03,3.9,4,India,Urban Ladder
10/08/2024,Lighting,Table Lamp,63.55,60,3813,4,10,Australia,IKEA
11/07/2024,Wall Art,Metal Wall Sculpture,531.4,58,30821.2,4.8,3,UK,Urban Ladder
13/02/2024,Lighting,Table Lamp,376.95,7,2638.65,5,5,UK,Wayfair
09/06/2024,Storage,Bookshelf,754.22,4,3016.88,4.8,4,Canada,Ashley Furniture
21/05/2024,Wall Art,Canvas Painting,97.62,23,2245.26,4.1,3,India,Urban Ladder
16/11/2024,Rugs & Carpets,Jute Rug,939.08,6,5634.48,4.5,1,Canada,Wayfair
06/09/2024,Furniture,Wooden Dining Table,59.38,6,356.28,3.9,8,India,Urban Ladder
13/02/2024,Storage,Bookshelf,327.25,2,654.5,5,6,Canada,Williams-Sonoma
25/07/2024,Rugs & Carpets,Jute Rug,104.5,8,836,4.8,3,Australia,IKEA
15/03/2024,Storage,Bookshelf,1085.48,25,27137,4.8,7,UK,IKEA
13/08/2024,Storage,Wall-mounted Cabinet,820.55,23,18872.65,4.9,4,USA,Wayfair
21/07/2024,Wall Art,Framed Photograph,1105.86,48,53081.28,4.5,8,USA,Urban Ladder
23/11/2024,Rugs & Carpets,Persian Rug,319.8,51,16309.8,4.3,4,Canada,IKEA
29/01/2025,Lighting,LED Floor Lamp,869.62,49,42611.38,4.1,9,USA,Urban Ladder
15/08/2024,Lighting,LED Floor Lamp,895.41,57,51038.37,3.6,6,UK,Wayfair
05/07/2024,Rugs & Carpets,Persian Rug,914.52,29,26521.08,4.7,3,UK,Williams-Sonoma
01/06/2024,Rugs & Carpets,Modern Carpet,175.17,38,6656.46,3.7,8,Australia,Ashley Furniture
11/01/2025,Wall Art,Canvas Painting,1027.46,49,50345.54,4.9,4,Canada,IKEA
07/05/2024,Storage,Bookshelf,605.65,20,12113,4.7,5,Canada,IKEA
05/08/2024,Rugs & Carpets,Persian Rug,969.99,24,23279.76,3.7,10,Australia,Urban Ladder
02/04/2024,Lighting,Table Lamp,237.17,31,7352.27,4.3,6,Australia,Wayfair
19/06/2024,Storage,Wall-mounted Cabinet,712.31,2,1424.62,4.6,1,UK,Ashley Furniture
11/06/2024,Furniture,Wooden Dining Table,56.66,53,3002.98,3.7,9,UK,Urban Ladder
14/05/2024,Lighting,Table Lamp,469.45,51,23941.95,3.9,9,UK,Urban Ladder
14/08/2024,Storage,Wall-mounted Cabinet,355.5,30,10665,4.6,4,Germany,Wayfair
27/01/2025,Rugs & Carpets,Modern Carpet,624.11,12,7489.32,3.8,6,USA,Wayfair
26/02/2024,Storage,Wall-mounted Cabinet,892.03,42,37465.26,3.7,5,Germany,Urban Ladder
14/02/2024,Rugs & Carpets,Jute Rug,1126.67,57,64220.19,4.9,3,Germany,Urban Ladder
14/09/2024,Rugs & Carpets,Jute Rug,768.34,28,21513.52,4,4,Germany,Ashley Furniture
01/08/2024,Wall Art,Framed Photograph,313.68,48,15056.64,4.7,5,Germany,Williams-Sonoma
06/08/2024,Furniture,Recliner Sofa,524.3,23,12058.9,4,7,Australia,Ashley Furniture
11/06/2024,Rugs & Carpets,Jute Rug,621.32,27,16775.64,4.8,4,UK,Urban Ladder
15/11/2024,Wall Art,Canvas Painting,399.06,29,11572.74,4.1,6,USA,Urban Ladder
02/06/2024,Rugs & Carpets,Jute Rug,1033.43,22,22735.46,4.7,9,UK,Ashley Furniture
15/07/2024,Storage,Bookshelf,1153.34,27,31140.18,3.7,9,Canada,Ashley Furniture
13/09/2024,Wall Art,Canvas Painting,910.85,29,26414.65,4.2,3,USA,Wayfair
10/07/2024,Rugs & Carpets,Persian Rug,672.41,38,25551.58,4.7,1,Canada,Urban Ladder
09/11/2024,Furniture,Recliner Sofa,1100.61,42,46225.62,4.8,2,USA,Ashley Furniture
11/12/2024,Furniture,Recliner Sofa,632.69,21,13286.49,4.2,7,USA,Urban Ladder
07/06/2024,Lighting,Table Lamp,1184.24,47,55659.28,4.6,8,UK,Williams-Sonoma
07/03/2024,Storage,Wall-mounted Cabinet,1072.24,8,8577.92,4.3,10,India,Williams-Sonoma
21/08/2024,Storage,Shoe Rack,242.3,34,8238.2,4.2,9,Germany,IKEA
13/04/2024,Storage,Shoe Rack,610.16,23,14033.68,3.5,7,India,Ashley Furniture
26/08/2024,Lighting,Chandelier,871.49,36,31373.64,3.8,6,Australia,Wayfair
01/08/2024,Lighting,LED Floor Lamp,130.39,20,2607.8,4.3,3,Canada,Williams-Sonoma
21/02/2024,Wall Art,Canvas Painting,842.7,39,32865.3,3.8,8,Australia,Williams-Sonoma
28/02/2024,Wall Art,Framed Photograph,1065.4,34,36223.6,4.9,2,Germany,Wayfair
05/11/2024,Furniture,Wooden Dining Table,801.98,45,36089.1,3.8,10,UK,Wayfair
09/11/2024,Furniture,Recliner Sofa,159.75,5,798.75,3.7,1,Australia,Williams-Sonoma
16/11/2024,Storage,Shoe Rack,275.35,20,5507,4,5,Australia,Ashley Furniture
14/04/2024,Lighting,Table Lamp,52.3,45,2353.5,4.2,10,USA,Williams-Sonoma
16/01/2025,Storage,Bookshelf,212.74,42,8935.08,3.9,8,Germany,IKEA
18/11/2024,Wall Art,Framed Photograph,948.59,30,28457.7,4.9,9,Australia,Wayfair
22/08/2024,Storage,Bookshelf,454,6,2724,4.1,2,UK,Urban Ladder
20/01/2025,Rugs & Carpets,Modern Carpet,470.53,1,470.53,3.6,7,India,Ashley Furniture
16/01/2025,Storage,Shoe Rack,917.26,36,33021.36,4.4,10,UK,Ashley Furniture
14/10/2024,Storage,Bookshelf,1033.4,17,17567.8,4.7,5,Canada,Wayfair
16/05/2024,Furniture,Wooden Dining Table,1056.34,30,31690.2,3.7,5,UK,Wayfair
04/04/2024,Wall Art,Metal Wall Sculpture,915.76,25,22894,4.5,7,UK,Ashley Furniture
22/02/2024,Storage,Shoe Rack,105.53,2,211.06,4.8,3,Germany,Wayfair
05/01/2025,Lighting,Chandelier,36.72,23,844.56,4.6,9,Germany,Urban Ladder
23/06/2024,Lighting,Chandelier,525.28,24,12606.72,3.5,2,USA,Urban Ladder
29/02/2024,Wall Art,Metal Wall Sculpture,325.45,53,17248.85,4.8,1,UK,Urban Ladder
07/09/2024,Lighting,Table Lamp,849.36,51,43317.36,4.5,7,USA,Ashley Furniture
31/08/2024,Storage,Shoe Rack,650.35,36,23412.6,4.9,7,Australia,Ashley Furniture
30/07/2024,Furniture,Glass Coffee Table,161.01,17,2737.17,4.3,7,Canada,Williams-Sonoma
16/11/2024,Wall Art,Framed Photograph,183.59,11,2019.49,4.9,4,Germany,IKEA
16/04/2024,Rugs & Carpets,Modern Carpet,779.13,3,2337.39,4.3,4,India,Ashley Furniture
09/03/2024,Furniture,Recliner Sofa,1027.35,28,28765.8,4.7,3,Germany,IKEA
02/07/2024,Rugs & Carpets,Modern Carpet,120.47,21,2529.87,4.7,2,USA,Williams-Sonoma
02/11/2024,Furniture,Glass Coffee Table,691.75,12,8301,4.8,7,UK,Wayfair
27/07/2024,Wall Art,Canvas Painting,378.26,54,20426.04,3.6,9,USA,Urban Ladder
14/10/2024,Lighting,Table Lamp,307.41,17,5225.97,4.9,10,USA,IKEA
29/04/2024,Rugs & Carpets,Persian Rug,115,19,2185,3.9,3,Australia,Williams-Sonoma
14/05/2024,Lighting,Table Lamp,595.98,48,28607.04,4.7,5,Australia,Williams-Sonoma
25/02/2024,Lighting,LED Floor Lamp,189.07,11,2079.77,3.8,5,UK,IKEA
27/06/2024,Rugs & Carpets,Modern Carpet,913.96,42,38386.32,3.8,5,USA,Urban Ladder
13/02/2024,Wall Art,Metal Wall Sculpture,1098.6,18,19774.8,4.5,2,Australia,Urban Ladder
26/09/2024,Rugs & Carpets,Modern Carpet,84.05,40,3362,4.9,9,Germany,IKEA
31/01/2025,Furniture,Wooden Dining Table,621.66,9,5594.94,4.7,10,Australia,Ashley Furniture
14/12/2024,Lighting,Chandelier,70.94,29,2057.26,3.6,7,USA,Williams-Sonoma
06/08/2024,Storage,Wall-mounted Cabinet,97.25,54,5251.5,4.1,9,Germany,Wayfair
06/09/2024,Rugs & Carpets,Modern Carpet,525.82,14,7361.48,4.1,1,India,Williams-Sonoma
25/10/2024,Furniture,Glass Coffee Table,521.36,1,521.36,3.7,8,Canada,Williams-Sonoma
26/12/2024,Storage,Bookshelf,703.84,5,3519.2,4.1,10,Canada,IKEA
07/05/2024,Wall Art,Metal Wall Sculpture,253.14,35,8859.9,4.7,1,Canada,Ashley Furniture
31/07/2024,Rugs & Carpets,Persian Rug,145.61,15,2184.15,4.9,8,USA,IKEA
14/10/2024,Furniture,Recliner Sofa,817,10,8170,4.1,5,Australia,Williams-Sonoma
31/05/2024,Furniture,Wooden Dining Table,596.59,16,9545.44,4,8,USA,Wayfair
15/02/2024,Rugs & Carpets,Jute Rug,607.58,10,6075.8,3.8,4,India,Williams-Sonoma
19/11/2024,Wall Art,Framed Photograph,16.34,2,32.68,4.3,1,Canada,Ashley Furniture
01/06/2024,Storage,Shoe Rack,199.12,23,4579.76,4.6,6,Germany,Williams-Sonoma
24/01/2025,Wall Art,Framed Photograph,688.82,49,33752.18,3.7,7,Canada,Wayfair
28/01/2025,Lighting,LED Floor Lamp,981.08,40,39243.2,4.1,4,UK,Wayfair
